name,year,rating,country,date
$18.20 ,2001,Canada:7 March 2001,limited,
$5 a Day ,2008,Canada:6 September 2008,Toronto International Film Festival,
$5 for Love ,2012,USA:July 2012,limited,
$6 Man ,2008,USA:6 June 2008,limited,
$cratch ,2015,New Zealand:8 December 2015,internet,
$ettle Up ,2017,USA:8 August 2017,Sundance Film Festival,
$windle ,2002,France:April 2002,MIPTV,
$windle ,2002,Hungary:9 February 2007,TV premiere,
& Etc ,2007,Portugal:October 2007,Doclisboa,
'11 Olympia Shoot: Contest Shape ,2012, ,V,USA:7 June 2012
'11' ,1980,Spain:7 March 1988,Madrid,
'15' ,2002,Finland:March 2003,Tampere International Short Film Festival,
'15' ,2002,Germany:6 May 2003,Oberhausen International Short Film Festival,
'38 ,1986,USA:6 May 1988,"New York City, New York",
'51 Dons ,2014,USA:9 February 2014,TV premiere,
'71 ,2014,Germany:7 February 2014,Berlin International Film Festival,
'71 ,2014,Czech Republic:5 July 2014,Karlovy Vary Film Festival,
'71 ,2014,Spain:6 October 2014,Sitges International Fantastic Film Festival,
'71 ,2014,France:7 October 2014,Festival International du Film de Saint-Jean-de-Luz,
'71 ,2014,France:8 October 2014,Dinard Festival of British Cinema,
'71 ,2014,UK:9 October 2014,London Film Festival,
'71 ,2014,Australia:7 November 2014,British Film Festival,
'71 ,2014,USA:8 November 2014,AFI Fest,
'71 ,2014,USA:9 February 2015,Portland International Film Festival,
'76 ,2016,USA:6 January 2017,Palm Springs International Film Festival,
'79 Parts ,2016,USA:June 2016,Soho International Film Festival,
'7th on Sixth': Inside Fashion Week ,1999, ,TV,USA:September 1999
'A iucata ,2013,Switzerland:9 August 2013,Locarno Film Festival,
'A' for Effort ,2013,USA:6 June 2013,San Francisco 48 Hour Film Project,
'A' gai wak ,1983,Philippines:7 December 1985,Davao,
'Ave You Got a Male Assistant Please Miss? ,1973,UK:9 February 2009,DVD premiere,
'Bama Girl ,2008,USA:6 February 2009,Oxford Film Festival,
'Breaker' Morant ,1980,Indonesia:June 1980,Asian Film Festival,
'Breaker' Morant ,1980,Cyprus:August 1980,Commonwealth Film and Television Festival,
'Breaker' Morant ,1980,USA:October 1980,New York Film Festival,
'Breaker' Morant ,1980,South Africa:April 1981,Cape Town International Film Festival,
'C'-Man ,1949,UK:9 November 1949,London,
'Calendar Girls': Creating the Calendar ,2004, ,V,UK:9 February 2004
'Calendar Girls': The Naked Truth ,2004, ,V,UK:9 February 2004
'Catch Me If You Can': Behind the Camera ,2003, ,V,USA:6 May 2003
'Chiji massatsu' no shinjitsu ,2017,Japan:6 July 2017,Fukuoka Asian Film Festival,
'Crash' Featurette ,2005, ,V,Canada:6 September 2005
'Crash' Featurette ,2005, ,V,USA:6 September 2005
'Crash' Featurette ,2005, ,V,UK:5 December 2005
'Dad's Army' & Beyond: The Frank Williams Story ,2008,UK:6 April 2009,limited,
"'Das Quietschen der Macht, wenn sie die Bremsen zieht' ",1992, ,TV,Germany:9 November 1992
'Deep End': Remembering the Deleted Scenes ,2011,Netherlands:5 January 2012,DVD premiere,
'Deranged' with Producer Tom Karr ,2015, ,V,USA:7 July 2015
'Detail ,2005, ,V,Canada:June 2005
'Deutschland' Leaving New York at Full Speed ,with Prince Henry of Prussia, ,1902,USA:March 1902
'Doctor Who': The Colin Baker Years ,1994, ,V,UK:7 March 1994
'Doctor Who': The Tom Baker Years ,1992, ,V,UK:7 September 1992
'E' ,1981,West Germany:February 1982,Berlin International Film Festival,
'E' ,1981,Poland:June 1982,Cracow Film Festival,
'E' ,1981,Croatia:July 1982,Zagreb Film Festival,
'Enkä mä herätä sua' ,1983, ,TV,Finland:8 March 1983
